date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:50	76/76	---MCZ	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2014:14:49%20GMT	http://lepavida.wine/robots.txt		(from )
19:44:51	80161/80161	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:14:49%20GMT	http://lepavida.wine/	C:/Users/dell/Desktop/barath/agri1/lepavida.wine/index.html	(from )
19:44:51	1606/1606	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Mar%202017%2013:15:26%20GMT	http://lepavida.wine/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.7	C:/Users/dell/Desktop/barath/agri1/lepavida.wine/wp-content/plugins/contact-form-7/includes/css/styles4906.css	(from http://lepavida.wine/)
19:44:52	81399/81399	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:14:51%20GMT	http://lepavida.wine/?lang=sl	C:/Users/dell/Desktop/barath/agri1/lepavida.wine/index7c4b.html	(from http://lepavida.wine/)
19:44:53	79539/79539	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:14:51%20GMT	http://lepavida.wine/?lang=it	C:/Users/dell/Desktop/barath/agri1/lepavida.wine/indexcf53.html	(from http://lepavida.wine/)
19:44:53	851/851	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202017%2016:09:33%20GMT	http://lepavida.wine/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-list-horizontal/style.css?ver=1	C:/Users/dell/Desktop/barath/agri1/lepavida.wine/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-list-horizontal/style68b3.css	(from http://lepavida.wine/)
19:44:54	212/212	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2027%20Oct%202022%2014:14:53%20GMT	http://lepavida.wine/xmlrpc.php?rsd	C:/Users/dell/Desktop/barath/agri1/lepavida.wine/xmlrpc.20db0.delayed	(from http://lepavida.wine/)
19:44:55	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2018:49:12%20GMT	http://lepavida.wine/wp-includes/wlwmanifest.xml	C:/Users/dell/Desktop/barath/agri1/lepavida.wine/wp-includes/wlwmanifest.xml	(from http://lepavida.wine/)
19:44:56	2259/2259	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2014:14:55%20GMT	http://lepavida.wine/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flepavida.wine%2F	C:/Users/dell/Desktop/barath/agri1/lepavida.wine/wp-json/oembed/1.0/embedc7c0.json	(from http://lepavida.wine/)
19:44:56	54082/54082	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2014:14:54%20GMT	http://lepavida.wine/wp-json/	C:/Users/dell/Desktop/barath/agri1/lepavida.wine/wp-json/index.html	(from http://lepavida.wine/)
